participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,block,global_block_order,within_block_position,cumulative_trial_order,z_log_total_word_count,z_enem_correctness,response_time_sec,front_roi_mean_variable_lag4,front_roi_mean,back_roi_mean_variable_lag4,manual_override_session,no_override_cohort
PID001,0,2025-11-06_008,2022_CH_51,27,Abstract,1.0,A1,1,1,1,0.4959657933609324,-0.9765675923399836,150.79349699999997,2.0660189222772843e-07,7.168948300279283e-08,1.2665671767574605e-07,False,True
PID001,0,2025-11-06_008,2022_CH_71,29,Abstract,1.0,A1,1,2,2,-0.5452427221661849,0.4620415654524358,124.307413,8.549934051917158e-09,-6.399222360198487e-08,3.211223736927224e-08,False,True
PID001,0,2025-11-06_008,2022_CH_47,26,Abstract,1.0,A1,1,3,3,1.0374217805060666,0.6865312817739867,176.7309879999999,-9.419982303962009e-08,-1.3225747626470404e-07,-5.217381423684812e-08,False,True
PID001,0,2025-11-06_008,2019_CH_65,8,Abstract,1.0,A2,2,1,4,0.4154157465811737,-0.3021956459204002,101.59875699999998,1.312909081899288e-07,4.137392287994648e-08,6.172946619531564e-08,False,True
PID001,0,2025-11-06_008,2020_LC_31,17,Abstract,1.0,A2,2,2,5,1.2969024283525536,0.491072224108366,126.66627199999994,-1.994277525827001e-07,-1.2295057497413493e-08,-1.3754825263337182e-07,False,True
PID001,0,2025-11-06_008,2020_CH_77,13,Abstract,1.0,A2,2,3,6,0.1561746054758361,-0.6844944649159799,98.07042699999988,-4.1988771026064523e-08,7.658996758283061e-09,4.1121852997990426e-08,False,True
PID001,0,2025-11-06_008,2021_CH_51,19,Abstract,1.0,A3,3,1,7,-0.6706373311158704,0.6512534794066687,50.78490300000021,4.4740130189561905e-09,1.8590998412546725e-07,-9.411022250872677e-08,False,True
PID001,0,2025-11-06_008,2021_CH_57,20,Abstract,1.0,A3,3,2,8,-1.2501139118066624,-0.5984069705038608,80.93597999999997,1.551297557552011e-07,3.2339172374765337e-07,1.47383917939515e-07,False,True
PID001,0,2025-11-06_008,2021_CH_86,24,Abstract,1.0,A3,3,3,9,-0.5048577147492145,1.3097621052999473,101.486541,3.299926454914521e-07,5.504088351502616e-08,2.497604948482099e-07,False,True
PID001,0,2025-11-06_008,2021_CH_65,21,Abstract,1.0,A4,4,1,10,-0.1344565412126754,2.301474938515612,102.705066,-2.7529188905442964e-07,-6.960587879094907e-09,-5.37424176241253e-08,False,True
PID001,0,2025-11-06_008,2019_CH_64,7,Abstract,1.0,A4,4,2,11,0.8851540163061837,1.676860146097159,92.48808299999996,1.3752895096005262e-07,2.6170393335050424e-07,-1.2393192223121173e-08,False,True
PID001,0,2025-11-06_008,2020_CH_76,12,Abstract,1.0,A4,4,3,12,0.1255646198243954,-0.511405592177757,103.73853600000008,-4.513955005530609e-08,6.153511034697269e-08,-2.8115402228972533e-08,False,True
PID001,0,2025-11-06_008,2021_CH_83,23,Abstract,1.0,A5,5,1,13,1.1606719436386206,0.3913544668532575,93.03862199999958,-2.2318079505049499e-07,1.000048583679215e-07,1.0676802892598257e-07,False,True
PID001,0,2025-11-06_008,2019_CH_56,6,Abstract,1.0,A5,5,2,14,-0.0667661106566081,0.0717737519545465,129.01843899999994,2.7774192642318814e-07,1.506429007762373e-07,7.316194238337356e-08,False,True
PID001,0,2025-11-06_008,2022_CH_60,28,Abstract,1.0,A5,5,3,15,0.4425668985007616,0.5286921676923586,162.40833599999996,-1.6470924343914873e-08,-1.360508463876741e-07,-7.544987705544276e-08,False,True
PID001,0,2025-11-06_008,2017_CH_47,0,Concrete,0.0,C1,6,1,16,-0.4260686437746248,1.0979750828394783,96.69166799999994,2.4874531688171344e-07,9.729485747017269e-08,1.163212429873775e-07,False,True
