question_year,n_unique_questions,n_valid_trials,mean_accuracy,mean_enem_correctness,mean_rt_text_to_answer
2017,4,144,0.5069444444444444,0.30382466094318017,85.50527012500002
2018,2,72,0.3194444444444444,0.2527653523742042,87.57364109722221
2019,3,108,0.7222222222222222,0.4467191118062903,84.79233723148148
2020,9,320,0.48125,0.3659639520367541,87.846763525
2021,8,287,0.6376306620209059,0.43930317718935546,93.4339357839721
2022,4,144,0.6388888888888888,0.4062442414724871,98.88115261111115
