question_type,n_trials,n_valid_answers,n_unique_questions,mean_sample_accuracy,mean_rt_text_to_answer,median_rt_text_to_answer,mean_enem_correctness,mean_word_count,mean_sentence_count,mean_sentence_length
Abstract,539,539,15,0.6252319109461967,91.12141715398887,84.80462500000021,0.43173019471946433,83.60853432282003,3.738404452690167,29.580482374768092
Concrete,536,536,15,0.4962686567164179,89.22869310820896,80.6585825000002,0.3342921510171515,77.40111940298507,3.669776119402985,27.26774253731344
