participant_id,session_id,raw_pattern,alignment_method,expected_full_count,raw_annotation_count,expected_min_count,raw_min_count,matched_min_count,missing_min_count,extra_raw_min_count,substitution_count,interval_shift,interval_score,time_offset_sec,comparison_result,notes,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,DIRECT_CODED,direct_min_event_alignment,183,181,80,80,80,0,0,0,,,10.94059100000004,MATCH_RAW,,False,
PID002,2025-11-06_PID002,DIRECT_CODED,direct_min_event_alignment,184,182,80,80,80,0,0,0,,,22.717795000000024,MATCH_RAW,,False,
PID003,2025-11-11_003,ALL_12_AMBIGUOUS,interval_shift_alignment,245,244,80,0,80,0,0,0,1.0,1.7999999272433342e-05,-83.45549800000015,MISSING_TRIGGERS_REPAIRABLE,Ambiguous raw code-12 annotations aligned to PsychoPy by interval structure,False,
PID004,2025-11-11_004,ALL_12_AMBIGUOUS,interval_shift_alignment,245,244,80,0,80,0,0,0,1.0,1.799999995455437e-05,29.46446949999995,MISSING_TRIGGERS_REPAIRABLE,Ambiguous raw code-12 annotations aligned to PsychoPy by interval structure,False,
PID005,2025-11-12_001,ALL_12_AMBIGUOUS,interval_shift_alignment,245,244,80,0,80,0,0,0,1.0,1.5999999959603883e-05,10.939642999999933,MISSING_TRIGGERS_REPAIRABLE,Ambiguous raw code-12 annotations aligned to PsychoPy by interval structure,False,
PID006,2025-11-12_002,NO_ANNOTATIONS,none,0,0,0,0,0,0,0,0,,,,MISMATCH_REVIEW_REQUIRED,No paired PsychoPy file available for trigger comparison,True,Global downstream exclusion after Step 3 review: Excluded from Step 1 and Step 2 summaries and from future downstream analyses after Step 3 documented session 2025-11-12_002 as an implausibly short 10.420224 second recording with no paired PsychoPy log.
PID006,2025-11-12_003,ALL_12_AMBIGUOUS,interval_shift_alignment,245,243,80,0,80,0,0,0,1.0,1.699999984339229e-05,14.743032999999741,MISSING_TRIGGERS_REPAIRABLE,Ambiguous raw code-12 annotations aligned to PsychoPy by interval structure,True,Global downstream exclusion after Step 3 review: Excluded from Step 1 and Step 2 summaries and from future downstream analyses after Step 3 documented session 2025-11-12_002 as an implausibly short 10.420224 second recording with no paired PsychoPy log.
PID007,2025-11-13_001,ALL_12_AMBIGUOUS,interval_shift_alignment,245,244,80,0,80,0,0,0,1.0,1.1000000029071089e-05,20.96551750000026,MISSING_TRIGGERS_REPAIRABLE,Ambiguous raw code-12 annotations aligned to PsychoPy by interval structure,False,
PID008,2025-11-14_002,ALL_12_AMBIGUOUS,interval_shift_alignment,245,244,80,0,80,0,0,0,1.0,1.7000000070765964e-05,10.985995999999886,MISSING_TRIGGERS_REPAIRABLE,Ambiguous raw code-12 annotations aligned to PsychoPy by interval structure,False,
PID009,2025-11-14_002 (PID09),ALL_12_AMBIGUOUS,interval_shift_alignment,218,217,74,0,74,0,0,0,1.0,1.4000000192027073e-05,13.874285999999984,MISSING_TRIGGERS_REPAIRABLE,Ambiguous raw code-12 annotations aligned to PsychoPy by interval structure,False,
PID010,2025-11-14_003,ALL_12_AMBIGUOUS,interval_shift_alignment,245,244,80,0,80,0,0,0,1.0,1.699999984339229e-05,5.790410000000065,MISSING_TRIGGERS_REPAIRABLE,Ambiguous raw code-12 annotations aligned to PsychoPy by interval structure,False,
PID011,2025-11-18_002,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,50.36609349999998,MATCH_RAW,,False,
PID012,2025-11-18_003,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,15.839456499999983,MATCH_RAW,,False,
PID013,2025-11-18_004,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,10.047872999999981,MATCH_RAW,,False,
PID014,2025-11-19_002,DIRECT_CODED,direct_min_event_alignment,243,243,80,80,80,0,0,0,,,12.269961499999965,MATCH_RAW,,False,
PID015,2025-11-19_003,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,26.145189000000187,MATCH_RAW,,False,
PID016,2025-11-19_004,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,16.977362000000085,MATCH_RAW,,False,
PID017,2025-11-20_001,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,25.63211250000012,MATCH_RAW,,False,
PID018,2025-11-20_002,DIRECT_CODED,direct_min_event_alignment,222,223,76,76,76,0,0,0,,,15.044248999999809,MATCH_INCOMPLETE_SESSION,,False,
PID019,2025-11-20_003,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,12.732254000000012,MATCH_RAW,,False,
PID020,2025-11-20_004,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,13.046194500000013,MATCH_RAW,,False,
PID021,2025-11-21_001,DIRECT_CODED,direct_min_event_alignment,238,239,80,80,80,0,0,0,,,19.558430999999928,MATCH_RAW,,False,
PID022,2025-11-21_002,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,21.109100500000068,MATCH_RAW,,False,
PID023,2025-11-21_003,DIRECT_CODED,direct_min_event_alignment,245,245,80,80,80,0,0,0,,,14.597516499999927,MATCH_RAW,,False,
PID024,2025-11-25_001,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,26.735755000000154,MATCH_RAW,,False,
PID025,2025-11-25_002,DIRECT_CODED,direct_min_event_alignment,243,244,80,81,80,0,1,0,,,20.57159500000006,MISMATCH_REVIEW_REQUIRED,,False,
PID026,2025-11-25_003,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,20.518564999999967,MATCH_RAW,,False,
PID027,2025-11-25_004,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,14.04798599999981,MATCH_RAW,,False,
PID028,2025-11-26_001,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,11.60651300000012,MATCH_RAW,,False,
PID029,2025-11-26_001(PID029),DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,21.847645000000057,MATCH_RAW,,False,
PID030,2025-11-26_001(PID030),DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,13.450316000000043,MATCH_RAW,,False,
PID031,2025-11-26_002(PID031),DIRECT_CODED,direct_min_event_alignment,244,245,80,80,80,0,0,0,,,10.129595499999937,MATCH_RAW,,False,
PID032,2025-11-27_001,DIRECT_CODED,direct_min_event_alignment,245,245,80,80,80,0,0,0,,,24.944429000000127,MATCH_RAW,,False,
PID033,2025-11-27_002,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,13.996416499999896,MATCH_RAW,,False,
PID034,2025-11-27_003,DIRECT_CODED,direct_min_event_alignment,242,243,80,81,80,0,1,0,,,12.76579300000003,MISMATCH_REVIEW_REQUIRED,,False,
PID035,2025-11-28_001,DIRECT_CODED,direct_min_event_alignment,245,245,80,80,80,0,0,0,,,37.220706500000006,MATCH_RAW,,False,
PID036,2025-11-28_002,DIRECT_CODED,direct_min_event_alignment,242,243,80,80,80,0,0,0,,,17.768975499999897,MATCH_RAW,,False,
PID038,2025-11-28_003,DIRECT_CODED,direct_min_event_alignment,245,246,80,80,80,0,0,0,,,27.597527499999842,MATCH_RAW,,False,
