participant_id,session_id,event_order,event_time_fnirs,event_duration_fnirs,event_label_raw,event_code_raw,source,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,77,2159.184433,10.0,14,14,snirf,False,
PID001,2025-11-06_008,78,2168.915292,10.0,15,15,snirf,False,
PID001,2025-11-06_008,79,2192.395796,10.0,22,22,snirf,False,
PID001,2025-11-06_008,80,2196.220334,10.0,99,99,snirf,False,
PID001,2025-11-06_008,81,2196.258024,10.0,11,11,snirf,False,
PID001,2025-11-06_008,82,2198.38866,10.0,14,14,snirf,False,
PID001,2025-11-06_008,83,2200.553641,10.0,15,15,snirf,False,
PID001,2025-11-06_008,84,2325.276463,10.0,24,24,snirf,False,
PID001,2025-11-06_008,85,2329.816403,10.0,99,99,snirf,False,
PID001,2025-11-06_008,86,2329.857554,10.0,11,11,snirf,False,
PID001,2025-11-06_008,87,2331.703281,10.0,14,14,snirf,False,
PID001,2025-11-06_008,88,2332.22155,10.0,15,15,snirf,False,
PID001,2025-11-06_008,89,2492.26589,10.0,22,22,snirf,False,
PID001,2025-11-06_008,90,2492.772898,10.0,93,93,snirf,False,
PID001,2025-11-06_008,91,2515.734864,10.0,92,92,snirf,False,
PID001,2025-11-06_008,92,2518.370001,10.0,91,91,snirf,False,
PID001,2025-11-06_008,93,2522.017883,10.0,99,99,snirf,False,
PID001,2025-11-06_008,94,2522.053545,10.0,11,11,snirf,False,
PID001,2025-11-06_008,95,2552.73101,10.0,14,14,snirf,False,
PID001,2025-11-06_008,96,2562.495358,10.0,15,15,snirf,False,
PID001,2025-11-06_008,97,2618.745213,10.0,24,24,snirf,False,
PID001,2025-11-06_008,98,2622.469119,10.0,99,99,snirf,False,
PID001,2025-11-06_008,99,2622.483697,10.0,11,11,snirf,False,
PID001,2025-11-06_008,100,2651.537393,10.0,14,14,snirf,False,
PID001,2025-11-06_008,101,2661.223191,10.0,15,15,snirf,False,
PID001,2025-11-06_008,102,2731.012187,10.0,25,25,snirf,False,
PID001,2025-11-06_008,103,2736.435305,10.0,99,99,snirf,False,
PID001,2025-11-06_008,104,2736.461735,10.0,11,11,snirf,False,
PID001,2025-11-06_008,105,2738.870982,10.0,14,14,snirf,False,
PID001,2025-11-06_008,106,2740.414408,10.0,15,15,snirf,False,
PID001,2025-11-06_008,107,2828.261814,10.0,25,25,snirf,False,
PID001,2025-11-06_008,108,2828.769003,10.0,93,93,snirf,False,
PID001,2025-11-06_008,109,2938.383922,10.0,92,92,snirf,False,
