participant_id,session_id,session_folder_path,session_folder_readable,snirf_file,snirf_backup_file,psychopy_file,file_timestamp_iso,primary_raw_analysis_file,audit_backup_file,auxiliary_metadata_files,has_previous_marker_fix_backup,session_identity_ok,session_date,snirf_readable,annotation_count,duration_sec,notes,global_analysis_excluded,global_exclusion_reason
PID010,2025-11-14_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/2025-11-14_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/enem_blocks_PID010_20251114_165001.csv,2025-11-14T18:05:32,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/2025-11-14_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/2025-11-14_003_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/2025-11-14_003_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/2025-11-14_003_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/2025-11-14_003_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/2025-11-14_003_config.hdr,False,True,2025-11-14,True,244,4545.08544,,False,
PID011,2025-11-18_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/2025-11-18_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/enem_blocks_PID11_20251118_110941.csv,2025-11-18T12:23:12,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/2025-11-18_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/2025-11-18_002_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/2025-11-18_002_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/2025-11-18_002_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/2025-11-18_002_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/2025-11-18_002_config.hdr,False,True,2025-11-18,True,246,4468.408320000001,,False,
PID012,2025-11-18_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/2025-11-18_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/enem_blocks_PID12_20251118_141329.csv,2025-11-18T15:28:22,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/2025-11-18_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/2025-11-18_003_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/2025-11-18_003_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/2025-11-18_003_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/2025-11-18_003_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/2025-11-18_003_config.hdr,False,True,2025-11-18,True,246,4513.529856000001,,False,
PID013,2025-11-18_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/2025-11-18_004.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/enem_blocks_PID13_20251118_153529.csv,2025-11-18T16:51:48,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/2025-11-18_004.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/2025-11-18_004_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/2025-11-18_004_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/2025-11-18_004_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/2025-11-18_004_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/2025-11-18_004_config.hdr,False,True,2025-11-18,True,246,4596.203520000001,,False,
PID014,2025-11-19_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/2025-11-19_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/enem_blocks_PID014_20251119_102835.csv,2025-11-19T11:43:00,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/2025-11-19_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/2025-11-19_002_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/2025-11-19_002_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/2025-11-19_002_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/2025-11-19_002_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/2025-11-19_002_config.hdr,False,True,2025-11-19,True,243,4480.401408000001,,False,
PID015,2025-11-19_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/2025-11-19_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/enem_blocks_PID015_20251119_140111.csv,2025-11-19T15:16:06,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/2025-11-19_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/2025-11-19_003_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/2025-11-19_003_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/2025-11-19_003_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/2025-11-19_003_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/2025-11-19_003_config.hdr,False,True,2025-11-19,True,246,4536.041472000001,,False,
PID016,2025-11-19_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/2025-11-19_004.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/enem_blocks_PID016_20251119_160945.csv,2025-11-19T17:23:06,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/2025-11-19_004.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/2025-11-19_004_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/2025-11-19_004_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/2025-11-19_004_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/2025-11-19_004_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/2025-11-19_004_config.hdr,False,True,2025-11-19,True,246,4505.8621440000015,,False,
PID017,2025-11-20_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/2025-11-20_001.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/enem_blocks_pid17_20251120_101028.csv,2025-11-20T11:24:38,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/2025-11-20_001.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/2025-11-20_001_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/2025-11-20_001_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/2025-11-20_001_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/2025-11-20_001_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/2025-11-20_001_config.hdr,False,True,2025-11-20,True,246,4481.384448000001,,False,
PID018,2025-11-20_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/2025-11-20_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/enem_blocks_PID18_20251120_115656.csv,2025-11-20T13:22:00,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/2025-11-20_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/2025-11-20_002_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/2025-11-20_002_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/2025-11-20_002_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/2025-11-20_002_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/2025-11-20_002_config.hdr,False,True,2025-11-20,True,223,5127.8315520000015,,False,
PID019,2025-11-20_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/2025-11-20_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/enem_blocks_PID19_20251120_140642.csv,2025-11-20T15:20:06,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/2025-11-20_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/2025-11-20_003_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/2025-11-20_003_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/2025-11-20_003_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/2025-11-20_003_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/2025-11-20_003_config.hdr,False,True,2025-11-20,True,246,4422.991872000001,,False,
