participant_id,session_id,pair_id,raw_channel_names,n_wavelength_channels,is_short_pair,pair_sci_min,pair_sci_mean,bad_pair,bad_reason,global_analysis_excluded,global_exclusion_reason
PID002,2025-11-06_PID002,S4_D4,S4_D4 760;S4_D4 850,2,False,0.9681311435002902,0.9681311435002902,False,,False,
PID002,2025-11-06_PID002,S4_D7,S4_D7 760;S4_D7 850,2,False,0.975624770326155,0.975624770326155,False,,False,
PID002,2025-11-06_PID002,S5_D12,S5_D12 760;S5_D12 850,2,True,0.8628949553355727,0.8628949553355727,False,,False,
PID002,2025-11-06_PID002,S5_D3,S5_D3 760;S5_D3 850,2,False,0.9760461054804739,0.9760461054804739,False,,False,
PID002,2025-11-06_PID002,S5_D4,S5_D4 760;S5_D4 850,2,False,0.9871612801449576,0.9871612801449576,False,,False,
PID002,2025-11-06_PID002,S5_D6,S5_D6 760;S5_D6 850,2,False,0.9761268935612896,0.9761268935612896,False,,False,
PID002,2025-11-06_PID002,S5_D7,S5_D7 760;S5_D7 850,2,False,0.9843740573934056,0.9843740573934056,False,,False,
PID002,2025-11-06_PID002,S6_D1,S6_D1 760;S6_D1 850,2,False,0.9577775166325916,0.9577775166325916,False,,False,
PID002,2025-11-06_PID002,S6_D13,S6_D13 760;S6_D13 850,2,True,0.9352006358708129,0.9352006358708129,False,,False,
PID002,2025-11-06_PID002,S6_D2,S6_D2 760;S6_D2 850,2,False,0.980841518514285,0.980841518514285,False,,False,
PID002,2025-11-06_PID002,S6_D5,S6_D5 760;S6_D5 850,2,False,0.9737100412674529,0.9737100412674529,False,,False,
PID002,2025-11-06_PID002,S6_D7,S6_D7 760;S6_D7 850,2,False,0.9693256649744393,0.9693256649744393,False,,False,
PID002,2025-11-06_PID002,S7_D14,S7_D14 760;S7_D14 850,2,True,0.9478402447062252,0.9478402447062252,False,,False,
PID002,2025-11-06_PID002,S7_D2,S7_D2 760;S7_D2 850,2,False,0.9718791983515405,0.9718791983515405,False,,False,
PID002,2025-11-06_PID002,S7_D5,S7_D5 760;S7_D5 850,2,False,0.9536527081666366,0.9536527081666366,False,,False,
PID002,2025-11-06_PID002,S8_D1,S8_D1 760;S8_D1 850,2,False,0.9566185616049682,0.9566185616049682,False,,False,
PID002,2025-11-06_PID002,S8_D15,S8_D15 760;S8_D15 850,2,True,0.9472730446201713,0.9472730446201713,False,,False,
PID002,2025-11-06_PID002,S8_D5,S8_D5 760;S8_D5 850,2,False,0.9656747453484066,0.9656747453484066,False,,False,
PID003,2025-11-11_003,S1_D3,S1_D3 760;S1_D3 850,2,False,0.995273225414197,0.995273225414197,False,,False,
PID003,2025-11-11_003,S1_D6,S1_D6 760;S1_D6 850,2,False,0.9866027923345334,0.9866027923345334,False,,False,
PID003,2025-11-11_003,S1_D8,S1_D8 760;S1_D8 850,2,True,0.9850935047866671,0.9850935047866671,False,,False,
PID003,2025-11-11_003,S2_D4,S2_D4 760;S2_D4 850,2,False,0.9858026116085645,0.9858026116085645,False,,False,
PID003,2025-11-11_003,S2_D6,S2_D6 760;S2_D6 850,2,False,0.9806279408703965,0.9806279408703965,False,,False,
PID003,2025-11-11_003,S2_D9,S2_D9 760;S2_D9 850,2,True,0.9780085919691829,0.9780085919691829,False,,False,
PID003,2025-11-11_003,S3_D1,S3_D1 760;S3_D1 850,2,False,0.9886098585961884,0.9886098585961884,False,,False,
PID003,2025-11-11_003,S3_D10,S3_D10 760;S3_D10 850,2,True,0.9534375105512575,0.9534375105512575,False,,False,
PID003,2025-11-11_003,S3_D3,S3_D3 760;S3_D3 850,2,False,0.9830495335173051,0.9830495335173051,False,,False,
PID003,2025-11-11_003,S3_D7,S3_D7 760;S3_D7 850,2,False,0.992028057113425,0.992028057113425,False,,False,
PID003,2025-11-11_003,S4_D11,S4_D11 760;S4_D11 850,2,True,0.9791614931195796,0.9791614931195796,False,,False,
PID003,2025-11-11_003,S4_D2,S4_D2 760;S4_D2 850,2,False,0.9763086853932684,0.9763086853932684,False,,False,
PID003,2025-11-11_003,S4_D4,S4_D4 760;S4_D4 850,2,False,0.993324708912091,0.993324708912091,False,,False,
PID003,2025-11-11_003,S4_D7,S4_D7 760;S4_D7 850,2,False,0.9756647901851759,0.9756647901851759,False,,False,
PID003,2025-11-11_003,S5_D12,S5_D12 760;S5_D12 850,2,True,0.738207356129786,0.738207356129786,False,,False,
PID003,2025-11-11_003,S5_D3,S5_D3 760;S5_D3 850,2,False,0.9598587783040492,0.9598587783040492,False,,False,
PID003,2025-11-11_003,S5_D4,S5_D4 760;S5_D4 850,2,False,0.9899515708460387,0.9899515708460387,False,,False,
PID003,2025-11-11_003,S5_D6,S5_D6 760;S5_D6 850,2,False,0.9808604044445928,0.9808604044445928,False,,False,
PID003,2025-11-11_003,S5_D7,S5_D7 760;S5_D7 850,2,False,0.9756397593529095,0.9756397593529095,False,,False,
PID003,2025-11-11_003,S6_D1,S6_D1 760;S6_D1 850,2,False,0.5306809693628141,0.5306809693628141,True,LOW_SCI,False,
PID003,2025-11-11_003,S6_D13,S6_D13 760;S6_D13 850,2,True,0.029449217396807028,0.029449217396807028,False,,False,
PID003,2025-11-11_003,S6_D2,S6_D2 760;S6_D2 850,2,False,0.967236572870271,0.967236572870271,False,,False,
PID003,2025-11-11_003,S6_D5,S6_D5 760;S6_D5 850,2,False,0.8518246099853523,0.8518246099853523,False,,False,
PID003,2025-11-11_003,S6_D7,S6_D7 760;S6_D7 850,2,False,0.8551484646340943,0.8551484646340943,False,,False,
PID003,2025-11-11_003,S7_D14,S7_D14 760;S7_D14 850,2,True,-0.002598453301989868,-0.002598453301989868,False,,False,
PID003,2025-11-11_003,S7_D2,S7_D2 760;S7_D2 850,2,False,0.9827142007747576,0.9827142007747576,False,,False,
PID003,2025-11-11_003,S7_D5,S7_D5 760;S7_D5 850,2,False,0.36478266440332663,0.36478266440332663,True,LOW_SCI,False,
PID003,2025-11-11_003,S8_D1,S8_D1 760;S8_D1 850,2,False,0.879203809150119,0.879203809150119,False,,False,
PID003,2025-11-11_003,S8_D15,S8_D15 760;S8_D15 850,2,True,0.9627568604811646,0.9627568604811646,False,,False,
PID003,2025-11-11_003,S8_D5,S8_D5 760;S8_D5 850,2,False,0.9439595815680915,0.9439595815680915,False,,False,
PID004,2025-11-11_004,S1_D3,S1_D3 760;S1_D3 850,2,False,0.5751414663910629,0.5751414663910629,True,LOW_SCI,False,
PID004,2025-11-11_004,S1_D6,S1_D6 760;S1_D6 850,2,False,0.9760998386597729,0.9760998386597729,False,,False,
