participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_id_matches_trigger,question_start_time,answer_time,answer_latency_sec,epoch_start_time,epoch_end_time,baseline_start_time,baseline_end_time,full_epoch_available,baseline_available,front_hbo_n_channels,back_hbo_n_channels,front_hbr_n_channels,back_hbr_n_channels,included_step5_trial,exclusion_reason_code,exclusion_reason_detail,source_log
PID001,2025-11-06_008,C4,3,27,2020_CH_78,Concrete,True,3959.569235,4021.490241,61.921006000000034,3956.069235,3972.7692349999998,3957.569235,3959.569235,True,True,7,9,7,9,True,,,enem_blocks_PID01_20251106_124958.csv
PID001,2025-11-06_008,C5,1,28,2017_CH_69,Concrete,True,4211.497204,4288.081098,76.58389399999942,4207.997204,4224.697204,4209.497204,4211.497204,True,True,7,9,7,9,True,,,enem_blocks_PID01_20251106_124958.csv
PID001,2025-11-06_008,C5,2,29,2018_CH_77,Concrete,True,4292.85089,4341.006578,48.15568800000074,4289.35089,4306.0508899999995,4290.85089,4292.85089,True,True,7,9,7,9,True,,,enem_blocks_PID01_20251106_124958.csv
PID001,2025-11-06_008,C5,3,30,2021_CH_46,Concrete,True,4345.677142,4410.178077,64.50093500000003,4342.177142,4358.877141999999,4343.677142,4345.677142,True,True,7,9,7,9,True,,,enem_blocks_PID01_20251106_124958.csv
PID002,2025-11-06_PID002,C1,1,1,2018_CH_77,Concrete,True,259.353229,317.26681,57.91358100000002,255.853229,272.553229,257.353229,259.353229,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C1,2,2,2021_CH_76,Concrete,True,321.715927,466.973954,145.25802699999997,318.215927,334.915927,319.715927,321.715927,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C1,3,3,2020_CH_78,Concrete,True,471.626908,545.412505,73.785597,468.126908,484.826908,469.626908,471.626908,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C2,1,4,2018_LC_44,Concrete,True,682.97,764.895075,81.92507499999999,679.47,696.1700000000001,680.97,682.97,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C2,2,5,2020_CH_70,Concrete,True,770.335078,865.245725,94.91064700000004,766.835078,783.535078,768.335078,770.335078,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C2,3,6,2021_CH_46,Concrete,True,869.280842,973.662512,104.38166999999999,865.780842,882.480842,867.280842,869.280842,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C3,1,7,2021_LC_26,Concrete,True,1103.796347,1291.178104,187.3817570000001,1100.296347,1116.996347,1101.796347,1103.796347,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C3,2,8,2017_CH_47,Concrete,True,1295.990586,1342.420205,46.429619,1292.490586,1309.190586,1293.990586,1295.990586,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C3,3,9,2020_CH_59,Concrete,True,1346.263662,1411.376858,65.11319600000002,1342.763662,1359.463662,1344.263662,1346.263662,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C4,1,10,2017_CH_75,Concrete,True,1526.077433,1615.711807,89.63437399999998,1522.577433,1539.277433,1524.077433,1526.077433,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C4,2,11,2020_CH_84,Concrete,True,1619.513666,1699.131545,79.6178789999999,1616.013666,1632.713666,1617.513666,1619.513666,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
