participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_start_time,answer_time,answer_latency_sec,epoch_start_time,epoch_end_time,baseline_start_time,baseline_end_time,analysis_window_start_sec,analysis_window_end_sec,source_log,included_step5_analysis,front_roi_mean,back_roi_mean,front_n_channels,back_n_channels,front_channels_used,back_channels_used
PID001,2025-11-06_008,C5,3,30,2021_CH_46,Concrete,4345.677142,4410.178077,64.50093500000003,4342.177142,4358.877141999999,4343.677142,4345.677142,7.0,11.0,enem_blocks_PID01_20251106_124958.csv,True,2.5113025866176364e-08,1.3858696951693274e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C1,1,1,2018_CH_77,Concrete,259.353229,317.26681,57.91358100000002,255.853229,272.553229,257.353229,259.353229,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,6.576306676931176e-08,1.2958654163316859e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C1,2,2,2021_CH_76,Concrete,321.715927,466.973954,145.25802699999997,318.215927,334.915927,319.715927,321.715927,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-3.069758609685472e-07,-2.018998522016925e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C1,3,3,2020_CH_78,Concrete,471.626908,545.412505,73.785597,468.126908,484.826908,469.626908,471.626908,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-1.1344695784901091e-07,-1.735128028741326e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C2,1,4,2018_LC_44,Concrete,682.97,764.895075,81.92507499999999,679.47,696.1700000000001,680.97,682.97,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-2.1573072234019825e-08,2.404854229728906e-09,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C2,2,5,2020_CH_70,Concrete,770.335078,865.245725,94.91064700000004,766.835078,783.535078,768.335078,770.335078,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-2.4301604733255887e-07,-7.408493840124789e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C2,3,6,2021_CH_46,Concrete,869.280842,973.662512,104.38166999999999,865.780842,882.480842,867.280842,869.280842,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-1.1977247203420167e-07,-6.730335195151931e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C3,1,7,2021_LC_26,Concrete,1103.796347,1291.178104,187.3817570000001,1100.296347,1116.996347,1101.796347,1103.796347,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-2.431897620537316e-07,8.469213937887237e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C3,2,8,2017_CH_47,Concrete,1295.990586,1342.420205,46.429619,1292.490586,1309.190586,1293.990586,1295.990586,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-6.90716775210475e-08,-1.50831927569815e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C3,3,9,2020_CH_59,Concrete,1346.263662,1411.376858,65.11319600000002,1342.763662,1359.463662,1344.263662,1346.263662,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,1.1250370085198946e-07,9.759543873441265e-09,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C4,1,10,2017_CH_75,Concrete,1526.077433,1615.711807,89.63437399999998,1522.577433,1539.277433,1524.077433,1526.077433,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-1.942226841072812e-07,-9.409707111259883e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
PID002,2025-11-06_PID002,C4,2,11,2020_CH_84,Concrete,1619.513666,1699.131545,79.6178789999999,1616.013666,1632.713666,1617.513666,1619.513666,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-6.839989214398709e-08,8.854524594666136e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo
