question_id,missingness_label,count,percentage
affiliation,BLANK,0,0.0
affiliation,INVALID,0,0.0
affiliation,MISSING,0,0.0
affiliation,NOT_APPLICABLE,0,0.0
affiliation,UNKNOWN,0,0.0
age,BLANK,0,0.0
age,INVALID,0,0.0
age,MISSING,0,0.0
age,NOT_APPLICABLE,0,0.0
age,UNKNOWN,0,0.0
country_of_birth,BLANK,0,0.0
country_of_birth,INVALID,0,0.0
country_of_birth,MISSING,0,0.0
country_of_birth,NOT_APPLICABLE,0,0.0
country_of_birth,UNKNOWN,0,0.0
country_secondary_ed,BLANK,0,0.0
country_secondary_ed,INVALID,0,0.0
country_secondary_ed,MISSING,0,0.0
country_secondary_ed,NOT_APPLICABLE,0,0.0
country_secondary_ed,UNKNOWN,0,0.0
degree_field,BLANK,0,0.0
degree_field,INVALID,0,0.0
degree_field,MISSING,0,0.0
degree_field,NOT_APPLICABLE,0,0.0
degree_field,UNKNOWN,0,0.0
department_unit,BLANK,0,0.0
department_unit,INVALID,0,0.0
department_unit,MISSING,0,0.0
department_unit,NOT_APPLICABLE,0,0.0
department_unit,UNKNOWN,0,0.0
employee_role,BLANK,0,0.0
employee_role,INVALID,0,0.0
employee_role,MISSING,0,0.0
employee_role,NOT_APPLICABLE,20,55.56
employee_role,UNKNOWN,0,0.0
first_gen_he,BLANK,0,0.0
first_gen_he,INVALID,0,0.0
first_gen_he,MISSING,0,0.0
first_gen_he,NOT_APPLICABLE,0,0.0
first_gen_he,UNKNOWN,0,0.0
first_language,BLANK,0,0.0
first_language,INVALID,0,0.0
first_language,MISSING,0,0.0
first_language,NOT_APPLICABLE,0,0.0
first_language,UNKNOWN,0,0.0
gender,BLANK,0,0.0
gender,INVALID,0,0.0
gender,MISSING,0,0.0
gender,NOT_APPLICABLE,0,0.0
gender,UNKNOWN,0,0.0
highest_degree,BLANK,0,0.0
highest_degree,INVALID,0,0.0
highest_degree,MISSING,0,0.0
highest_degree,NOT_APPLICABLE,0,0.0
highest_degree,UNKNOWN,0,0.0
living_arrangement,BLANK,0,0.0
living_arrangement,INVALID,0,0.0
living_arrangement,MISSING,0,0.0
living_arrangement,NOT_APPLICABLE,0,0.0
living_arrangement,UNKNOWN,0,0.0
nationality,BLANK,0,0.0
nationality,INVALID,0,0.0
nationality,MISSING,0,0.0
nationality,NOT_APPLICABLE,0,0.0
nationality,UNKNOWN,0,0.0
other_languages,BLANK,1,2.78
other_languages,INVALID,0,0.0
other_languages,MISSING,0,0.0
other_languages,NOT_APPLICABLE,0,0.0
other_languages,UNKNOWN,0,0.0
parent_a_edu,BLANK,0,0.0
parent_a_edu,INVALID,0,0.0
parent_a_edu,MISSING,0,0.0
parent_a_edu,NOT_APPLICABLE,0,0.0
parent_a_edu,UNKNOWN,0,0.0
parent_b_edu,BLANK,0,0.0
parent_b_edu,INVALID,0,0.0
parent_b_edu,MISSING,0,0.0
parent_b_edu,NOT_APPLICABLE,0,0.0
parent_b_edu,UNKNOWN,0,0.0
primary_school_langs,BLANK,0,0.0
primary_school_langs,INVALID,0,0.0
primary_school_langs,MISSING,0,0.0
primary_school_langs,NOT_APPLICABLE,0,0.0
primary_school_langs,UNKNOWN,0,0.0
programme_name,BLANK,2,5.56
programme_name,INVALID,0,0.0
programme_name,MISSING,0,0.0
programme_name,NOT_APPLICABLE,31,86.11
programme_name,UNKNOWN,0,0.0
study_level,BLANK,1,2.78
study_level,INVALID,0,0.0
study_level,MISSING,0,0.0
study_level,NOT_APPLICABLE,31,86.11
study_level,UNKNOWN,0,0.0
year_in_programme,BLANK,1,2.78
year_in_programme,INVALID,0,0.0
year_in_programme,MISSING,0,0.0
year_in_programme,NOT_APPLICABLE,31,86.11
year_in_programme,UNKNOWN,0,0.0
years_in_luxembourg,BLANK,0,0.0
years_in_luxembourg,INVALID,0,0.0
years_in_luxembourg,MISSING,0,0.0
years_in_luxembourg,NOT_APPLICABLE,0,0.0
years_in_luxembourg,UNKNOWN,0,0.0
