participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_start_time,answer_time,question_window_duration_sec,baseline_start_time,baseline_end_time,source_log,session_primary_candidate,front_roi_mean,back_roi_mean,front_n_channels,back_n_channels,front_channels_used,back_channels_used,included_primary_analysis
PID001,2025-11-06_008,A4,3,12,2020_CH_76,Abstract,1881.657473,1985.396009,103.73853600000007,1879.657473,1881.657473,enem_blocks_PID01_20251106_124958.csv,True,-4.938342283725431e-08,-2.9337719815563722e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A5,1,13,2021_CH_83,Abstract,2099.357174,2192.395796,93.03862199999958,2097.357174,2099.357174,enem_blocks_PID01_20251106_124958.csv,True,-2.0677959165427046e-07,1.0575441444506716e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A5,2,14,2019_CH_56,Abstract,2196.258024,2325.276463,129.01843899999994,2194.258024,2196.258024,enem_blocks_PID01_20251106_124958.csv,True,2.726588046613639e-07,7.613456687602527e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A5,3,15,2022_CH_60,Abstract,2329.857554,2492.26589,162.40833599999996,2327.857554,2329.857554,enem_blocks_PID01_20251106_124958.csv,True,-2.1981988116545004e-08,-7.83286075062768e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C1,1,16,2017_CH_47,Concrete,2522.053545,2618.745213,96.69166799999994,2520.053545,2522.053545,enem_blocks_PID01_20251106_124958.csv,True,2.3876112820967053e-07,1.0291758809838215e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C1,2,17,2020_CH_70,Concrete,2622.483697,2731.012187,108.52848999999969,2620.483697,2622.483697,enem_blocks_PID01_20251106_124958.csv,True,-5.5959544781848785e-08,-2.398200103896024e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C1,3,18,2018_LC_44,Concrete,2736.461735,2828.261814,91.8000790000001,2734.461735,2736.461735,enem_blocks_PID01_20251106_124958.csv,True,7.456645807090096e-08,-3.5504030923353357e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C2,1,19,2020_CH_82,Concrete,2943.143607,3020.432662,77.28905500000019,2941.143607,2943.143607,enem_blocks_PID01_20251106_124958.csv,True,-6.651501358089e-08,-1.166722014613193e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C2,2,20,2017_CH_75,Concrete,3025.922155,3145.510973,119.58881799999972,3023.922155,3025.922155,enem_blocks_PID01_20251106_124958.csv,True,1.4441769340883082e-07,-2.629325020990337e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C2,3,21,2017_CH_68,Concrete,3150.196522,3220.717678,70.52115599999979,3148.196522,3150.196522,enem_blocks_PID01_20251106_124958.csv,True,-8.404307355166167e-08,-1.8007836184757861e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
