participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_start_time,answer_time,question_window_duration_sec,baseline_start_time,baseline_end_time,source_log,session_primary_candidate,front_roi_mean,back_roi_mean,front_n_channels,back_n_channels,front_channels_used,back_channels_used,included_primary_analysis
PID001,2025-11-06_008,A4,3,12,2020_CH_76,Abstract,1881.657473,1985.396009,103.73853600000007,1879.657473,1881.657473,enem_blocks_PID01_20251106_124958.csv,True,5.998727776442074e-08,4.783606877569233e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A5,1,13,2021_CH_83,Abstract,2099.357174,2192.395796,93.03862199999958,2097.357174,2099.357174,enem_blocks_PID01_20251106_124958.csv,True,3.8223045052995604e-08,-8.084939347162467e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A5,2,14,2019_CH_56,Abstract,2196.258024,2325.276463,129.01843899999994,2194.258024,2196.258024,enem_blocks_PID01_20251106_124958.csv,True,-1.5082171561137467e-07,-6.822134303613125e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A5,3,15,2022_CH_60,Abstract,2329.857554,2492.26589,162.40833599999996,2327.857554,2329.857554,enem_blocks_PID01_20251106_124958.csv,True,1.41173713203374e-08,3.3409368164683894e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C1,1,16,2017_CH_47,Concrete,2522.053545,2618.745213,96.69166799999994,2520.053545,2522.053545,enem_blocks_PID01_20251106_124958.csv,True,-9.21501656161667e-08,-4.613627809357372e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C1,2,17,2020_CH_70,Concrete,2622.483697,2731.012187,108.52848999999969,2620.483697,2622.483697,enem_blocks_PID01_20251106_124958.csv,True,1.7914791357982278e-07,3.968932685414165e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C1,3,18,2018_LC_44,Concrete,2736.461735,2828.261814,91.8000790000001,2734.461735,2736.461735,enem_blocks_PID01_20251106_124958.csv,True,-1.8414775077267974e-07,-5.899285656175305e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C2,1,19,2020_CH_82,Concrete,2943.143607,3020.432662,77.28905500000019,2941.143607,2943.143607,enem_blocks_PID01_20251106_124958.csv,True,2.3386107145105076e-07,1.8856224618667564e-07,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C2,2,20,2017_CH_75,Concrete,3025.922155,3145.510973,119.58881799999972,3023.922155,3025.922155,enem_blocks_PID01_20251106_124958.csv,True,3.846837821499058e-08,-1.0190993207591757e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C2,3,21,2017_CH_68,Concrete,3150.196522,3220.717678,70.52115599999979,3148.196522,3150.196522,enem_blocks_PID01_20251106_124958.csv,True,4.361698776733433e-08,8.00411353146589e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C3,1,22,2020_CH_56,Concrete,3365.147662,3442.882146,77.73448400000007,3363.147662,3365.147662,enem_blocks_PID01_20251106_124958.csv,True,1.0845765522013408e-07,3.702737697134575e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C3,2,23,2021_CH_76,Concrete,3447.874161,3531.333775,83.45961399999987,3445.874161,3447.874161,enem_blocks_PID01_20251106_124958.csv,True,4.707993484524908e-08,1.4741988859080009e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C3,3,24,2021_LC_26,Concrete,3536.743587,3693.991195,157.24760800000013,3534.743587,3536.743587,enem_blocks_PID01_20251106_124958.csv,True,9.986958028159574e-09,-3.315022878285021e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C4,1,25,2020_CH_59,Concrete,3789.297537,3883.712868,94.41533100000015,3787.297537,3789.297537,enem_blocks_PID01_20251106_124958.csv,True,-2.2113404511439506e-07,-5.363072519206788e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C4,2,26,2020_CH_84,Concrete,3888.611489,3955.967816,67.35632699999996,3886.611489,3888.611489,enem_blocks_PID01_20251106_124958.csv,True,-1.3113221587128945e-07,-8.000594375694657e-09,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C4,3,27,2020_CH_78,Concrete,3959.569235,4021.490241,61.921006000000034,3957.569235,3959.569235,enem_blocks_PID01_20251106_124958.csv,True,7.242826526241173e-09,4.267465361144719e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C5,1,28,2017_CH_69,Concrete,4211.497204,4288.081098,76.58389399999942,4209.497204,4211.497204,enem_blocks_PID01_20251106_124958.csv,True,-1.716306018663315e-07,-4.807125257032984e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,C5,2,29,2018_CH_77,Concrete,4292.85089,4341.006578,48.15568800000074,4290.85089,4292.85089,enem_blocks_PID01_20251106_124958.csv,True,2.048511145748109e-08,-2.412786658080724e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
