participant_id,session_id,manual_step4_override,manual_step4_override_reason,included_primary_analysis,step4_inclusion_note,n_valid_abstract_trials,n_valid_concrete_trials,front_hbo_n_channels,back_hbo_n_channels,front_hbr_n_channels,back_hbr_n_channels,front_hbo_channels,back_hbo_channels,front_hbr_channels,back_hbr_channels,front_abstract_hbo_mean,front_concrete_hbo_mean,back_abstract_hbo_mean,back_concrete_hbo_mean,dissociation_hbo,front_abstract_hbr_mean,front_concrete_hbr_mean,back_abstract_hbr_mean,back_concrete_hbr_mean,dissociation_hbr
PID012,2025-11-18_003,False,,True,Included in primary ROI analysis.,15,15,4,7,4,7,S2_D6 hbo;S1_D6 hbo;S5_D6 hbo;S5_D4 hbo,S4_D2 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D5 hbo,S2_D6 hbr;S1_D6 hbr;S5_D6 hbr;S5_D4 hbr,S4_D2 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D5 hbr,1.7397270846263656e-08,3.137831922368304e-08,5.009624494211997e-08,5.8336820221023563e-08,-5.740473098515794e-09,2.7058207619700697e-09,-6.748815099539324e-09,1.0822964855379472e-09,-4.90952863039447e-09,3.4628107455769753e-09
PID013,2025-11-18_004,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-6.27678372273195e-08,-4.6430100511242166e-08,-7.485904031628273e-08,-1.463520930932075e-08,4.3886094290884644e-08,-5.078771142209276e-10,-2.6188065665537725e-08,4.468658968290345e-09,1.724448609491057e-08,3.845601567793702e-08
PID014,2025-11-19_002,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-9.143969615174574e-08,-9.916195072093193e-08,-1.2483571147999552e-07,-1.7151705100704693e-07,-3.895908495786522e-08,7.188019759723979e-08,1.5217857755781991e-09,3.862414894022608e-08,4.295217009110234e-08,7.468643297253785e-08
PID015,2025-11-19_003,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-3.2377930546612136e-07,-1.634071125180331e-07,-2.604451417900928e-07,-1.2173093521632562e-07,-2.1657986374321088e-08,2.8829550258325955e-09,-9.768658476956771e-09,4.1793705526191146e-08,5.4885299513243154e-08,2.5743207489841374e-08
PID016,2025-11-19_004,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-7.10803642116636e-08,-1.6352236196690874e-07,-3.38774643343697e-08,-1.1643650984853408e-07,9.882952241080765e-09,-3.270867105068544e-08,-1.365065905123073e-08,4.583380115778908e-09,-1.5246876825630061e-09,-2.5166079797796623e-08
PID017,2025-11-20_001,False,,True,Included in primary ROI analysis.,15,15,7,8,7,8,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-1.1477120684228707e-07,-2.5097552005250394e-08,-1.7750648569106098e-07,-9.447198916180896e-08,-6.639158307784656e-09,1.7921870957599458e-08,-7.386415633809966e-08,-1.0721072583103404e-08,-3.184919826006476e-08,7.065790161873775e-08
PID018,2025-11-20_002,False,,True,Included in primary ROI analysis.,15,13,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-2.7706532584172866e-08,1.5609067845722823e-09,-5.098274030416989e-08,-1.1633815326145188e-07,-9.462285232602714e-08,3.1051414436413454e-08,1.7371190971629212e-08,1.047975632913636e-09,1.5027838996785314e-08,2.7660086828655917e-08
PID019,2025-11-20_003,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-1.2475972015429264e-07,-9.063874443117007e-08,-8.17114822894624e-08,-8.30826562336003e-08,-3.549214966726047e-08,-7.28376796248594e-08,-9.133264712394264e-08,-2.1151414651713004e-08,7.465787808073525e-10,4.03929609316036e-08
PID020,2025-11-20_004,False,,True,Included in primary ROI analysis.,15,15,7,8,7,8,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D5 hbr,1.0495371713557954e-07,-4.3793686423932235e-08,5.871290022945336e-08,-4.201015510839719e-08,4.8024348221661215e-08,1.1251295820049011e-09,9.743847426100682e-08,-5.507397942500712e-09,1.0056257801285247e-08,-8.074968893521597e-08
PID021,2025-11-21_001,False,,True,Included in primary ROI analysis.,15,15,7,8,7,8,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-1.645258461385086e-07,-1.0576238745552617e-07,-4.1452300885476645e-08,-3.777902761831864e-08,-5.5090185415824424e-08,5.142797683777371e-08,-3.004740447489199e-08,-4.398317990615511e-09,-8.201111569741822e-09,7.767258773353938e-08
PID022,2025-11-21_002,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-7.763949897904346e-08,-2.016881310065287e-07,-7.875183175335052e-08,-2.690967599348861e-07,-6.629629615405032e-08,-3.3288782685492195e-08,7.639319289053829e-08,-1.3669790164038283e-08,5.3266710997452454e-09,-9.068551431224695e-08
