analysis_label,test_type,n_included_participants,mean_difference,t_stat,df,p_value,ci_low,ci_high,cohens_d
Secondary HbR dissociation,primary-style secondary,36,2.368301899545736e-09,0.20556770374738942,35,0.8383196043273344,-2.10201408135485e-08,2.5756744612639973e-08,0.034261283957898236
Secondary HbR front follow-up,planned-style secondary,36,-3.03558039059343e-10,-0.025229704311955977,35,0.9800150460381488,-2.4729352894152635e-08,2.4122236816033952e-08,-0.00420495071865933
Secondary HbR back follow-up,planned-style secondary,36,-2.671859938605079e-09,-0.7128268339391793,35,0.48067867026950195,-1.0281231228069544e-08,4.937511350859386e-09,-0.11880447232319655
