covariate,covariate_label,n_abstract_items,n_concrete_items,abstract_mean,abstract_sd,abstract_median,abstract_min,abstract_max,concrete_mean,concrete_sd,concrete_median,concrete_min,concrete_max,standardized_mean_difference_abstract_minus_concrete,welch_t_stat,welch_p_value
total_word_count,Total word count,15,15,83.6,24.85328377268715,79.0,44.0,127.0,77.46666666666667,42.25579701002433,65.0,28.0,190.0,0.17693476203275418,0.48455580186074043,0.6326441718052864
sentence_count,Sentence count,15,15,3.7333333333333334,2.4630604269214884,3.0,1.0,11.0,3.6666666666666665,2.554174920362645,4.0,1.0,9.0,0.026570679490236483,0.07276680262521196,0.9425096920311482
sentence_length,Average sentence length,15,15,29.672,18.32638075094402,23.33,9.73,79.0,27.328,14.568043402304532,21.11,13.0,58.0,0.14159535139201448,0.3877748399763843,0.7012633491883019
enem_correctness,ENEM item correctness,15,15,0.431473092679104,0.12069120248813472,0.444068288594161,0.2543846345770937,0.6866014614393652,0.3339556573782375,0.13243456672856027,0.2951478999067735,0.1797999836750338,0.5713472000908519,0.7696779274290932,2.107849814333693,0.04420369479446529
