participant_id,folder_name,timestamp_raw,timestamp_iso,question_id,raw_value,raw_key_present,source_json,source_json_full_path
PID001,PID001,20251106_124958,2025-11-06 12:49:58,affiliation,PhD candidate,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,age,42,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,country_of_birth,iran,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,country_secondary_ed,iran,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,degree_field,geography,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,department_unit,udm liser,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,employee_role,,False,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,first_gen_he,yes,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,first_language,farsi,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
PID001,PID001,20251106_124958,2025-11-06 12:49:58,gender,male,True,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json
