model_id,analysis_label,analysis_scope,outcome_variable,outcome_label,covariate_set,model_type,fallback_used,converged,optimizer,n_trials,n_participants,n_questions,condition_term,condition_beta,condition_se,condition_stat,condition_p_value,condition_ci_low,condition_ci_high,residual_variance,participant_random_intercept_variance,question_random_intercept_variance,warning_count,warnings,covariate_1_name,covariate_1_beta,covariate_1_se,covariate_1_stat,covariate_1_p_value,covariate_1_ci_low,covariate_1_ci_high,covariate_2_name,covariate_2_beta,covariate_2_se,covariate_2_stat,covariate_2_p_value,covariate_2_ci_low,covariate_2_ci_high,mean_window_duration_sec,median_window_duration_sec,min_window_duration_sec,max_window_duration_sec,lag_sec
front_lag3,Lag sensitivity front ROI duration-aware model with 3 s lag,sensitivity_lag,front_roi_mean_variable_lag_3,Front ROI HbO variable window,z_log_total_word_count;z_enem_correctness,MixedLM,False,True,lbfgs,1075,36,30,condition_abstract,3.6595308868890517e-08,2.1975440058220745e-08,1.6652821864743799,0.09585647075242226,-6.475762189640931e-09,7.966637992742196e-08,4.5156088401859e-14,7.542094601043832e-15,6.169771192724061e-14,1,lbfgs: The MLE may be on the boundary of the parameter space.,z_log_total_word_count,-4.6133676212795605e-08,1.0213760056959937e-08,-4.516816133874111,6.277636878272236e-06,-6.615227807117086e-08,-2.6115074354420356e-08,z_enem_correctness,3.434614702999352e-09,1.0791405721168507e-08,0.31827315103740234,0.7502777485978573,-1.771615185305041e-08,2.4585381259049116e-08,90.17768113209301,82.80123800000001,13.942835999999943,332.15578800000003,3.0
front_lag4,Lag sensitivity front ROI duration-aware model with 4 s lag,sensitivity_lag,front_roi_mean_variable_lag_4,Front ROI HbO variable window,z_log_total_word_count;z_enem_correctness,MixedLM,False,True,lbfgs,1075,36,30,condition_abstract,3.628874595084386e-08,2.220872721230554e-08,1.6339858472725435,0.10226182234214977,-7.239559527749634e-09,7.981705142943735e-08,4.607418472085325e-14,7.62317350125637e-15,6.306035004607948e-14,1,lbfgs: The MLE may be on the boundary of the parameter space.,z_log_total_word_count,-4.6255318116003056e-08,1.0322187879026528e-08,-4.481154446916086,7.424035985586274e-06,-6.648643460055094e-08,-2.6024201631455174e-08,z_enem_correctness,3.424135159907957e-09,1.090596435786477e-08,0.3139690400178745,0.753544553117831,-1.795116219818449e-08,2.4799432518000403e-08,90.01275449116278,82.80123800000001,13.942835999999943,332.15578800000003,4.0
front_lag5,Lag sensitivity front ROI duration-aware model with 5 s lag,sensitivity_lag,front_roi_mean_variable_lag_5,Front ROI HbO variable window,z_log_total_word_count;z_enem_correctness,MixedLM,False,True,lbfgs,1075,36,30,condition_abstract,3.609539502743741e-08,2.2415160802234378e-08,1.6103116701192421,0.10732983280767791,-7.83751285261591e-09,8.002830290749074e-08,4.6931041602678956e-14,7.759557416280788e-15,6.42417686863932e-14,1,lbfgs: The MLE may be on the boundary of the parameter space.,z_log_total_word_count,-4.637743941334768e-08,1.0418134274013439e-08,-4.451606995412762,8.523004711965526e-06,-6.679660737651637e-08,-2.5958271450179e-08,z_enem_correctness,3.133113157556673e-09,1.1007336917633306e-08,0.2846386170425612,0.7759210223801278,-1.8440870766702736e-08,2.4707097081816082e-08,89.51724188651161,82.32667000000038,13.777251999999862,332.15578800000003,5.0
