participant_id,participant_folder,timestamp_raw,timestamp_iso,source_log,source_log_full_path,block,block_type_from_block,block_index_within_type,global_block_order,order_condition,trial_idx_in_block,question_id,question_year,question_field,question_number,question_type_log,t_iti,t_text_on,t_stem_on,t_options_on,t_answer,rt_from_phase_answer,option_view_time,chosen_answer_raw,answer_marker_name,n_answer_rows,n_button_click_rows,button_click_times_json,trial_notes,trial_idx_global
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A5,Abstract,5,5,AbstractFirst,2,2019_CH_56,2019,CH,56,abstract,2185.279743,2185.317433,2187.448069,2189.61305,2314.335872,124.72287929999584,124.722866,D,ANS_D,1,0,[],ITI duration: 3.30s,14
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A5,Abstract,5,5,AbstractFirst,3,2022_CH_60,2022,CH,60,abstract,2318.875812,2318.916963,2320.76269,2321.280959,2481.325299,160.04440450000402,160.044354,B,ANS_B,1,0,[],ITI duration: 4.02s,15
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C1,Concrete,1,6,AbstractFirst,1,2017_CH_47,2017,CH,47,concrete,2511.077292,2511.112954,2541.790419,2551.554767,2607.804622,56.24992149999889,56.249909,D,ANS_D,1,0,[],ITI duration: 3.64s,16
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C1,Concrete,1,6,AbstractFirst,2,2020_CH_70,2020,CH,70,concrete,2611.528528,2611.543106,2640.596802,2650.2826,2720.071596,69.78903379999974,69.789021,E,ANS_E,1,0,[],ITI duration: 3.20s,17
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C1,Concrete,1,6,AbstractFirst,3,2018_LC_44,2018,LC,44,concrete,2725.494714,2725.521144,2727.930391,2729.473817,2817.321223,87.8474467000051,87.847436,E,ANS_E,1,0,[],ITI duration: 4.91s,18
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C2,Concrete,2,7,AbstractFirst,1,2020_CH_82,2020,CH,82,concrete,2932.17712,2932.203016,2961.159183,2985.213821,3009.492071,24.278294300005655,24.278281,E,ANS_E,1,0,[],ITI duration: 3.02s,19
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C2,Concrete,2,7,AbstractFirst,2,2017_CH_75,2017,CH,75,concrete,3014.964429,3014.981564,3017.946372,3018.455557,3134.570382,116.11486630000581,116.114854,A,ANS_A,1,0,[],ITI duration: 4.96s,20
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C2,Concrete,2,7,AbstractFirst,3,2017_CH_68,2017,CH,68,concrete,3139.244589,3139.255931,3140.962193,3141.425511,3209.777087,68.35163509999984,68.351625,C,ANS_C,1,0,[],ITI duration: 4.15s,21
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C3,Concrete,3,8,AbstractFirst,1,2020_CH_56,2020,CH,56,concrete,3354.194068,3354.207071,3355.977734,3356.472549,3431.941555,75.46914699999616,75.469137,D,ANS_D,1,0,[],ITI duration: 3.61s,22
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C3,Concrete,3,8,AbstractFirst,2,2021_CH_76,2021,CH,76,concrete,3436.91388,3436.93357,3438.999679,3439.492961,3520.393184,80.90036299999338,80.900353,C,ANS_C,1,0,[],ITI duration: 4.46s,23
