roi_slug,roi_label,n_trials,n_participants,n_questions,mean_available_channels_per_trial,abstractness_beta,abstractness_se,abstractness_stat,abstractness_p_value,abstractness_ci_low,abstractness_ci_high,holm_corrected_p_value,holm_reject_alpha_0_05
anterior_ventral,Anterior Ventral,1075,36,30,4.916279069767442,1.6421225412347127e-08,1.0421952879413788e-08,1.5756380404274852,0.12595692447210818,-4.8940615455402256e-09,3.773651237023448e-08,0.5038276978884327,False
posterior_dorsal,Posterior Dorsal,1075,36,30,4.553488372093023,1.1517173162038404e-08,7.646246705571053e-09,1.5062518390424147,0.14281871996154025,-4.1211572512550404e-09,2.715550357533185e-08,0.5038276978884327,False
posterior_ventral,Posterior Ventral,1075,36,30,5.944186046511628,7.33488081831466e-09,8.356905896927565e-09,0.8777029332125595,0.38731880910609096,-9.75691083859518e-09,2.44266724752245e-08,0.7746376182121819,False
anterior_dorsal,Anterior Dorsal,1075,36,30,4.5813953488372094,7.658324133544661e-09,1.4119328451497114e-08,0.5424000270163434,0.5916871378827142,-2.1218944942464875e-08,3.6535593209554194e-08,0.7746376182121819,False
