participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,abstracness,z_abstracness,global_block_order,within_block_position,z_log_total_word_count,z_enem_correctness,response_time_sec,manual_override_session,no_override_cohort,question_start_time,baseline_start_time,baseline_end_time,primary_window_start_time,primary_window_end_time,outcome_variable,roi_mean_variable_lag4,roi_slug,roi_label
PID001,0,2025-11-06_008,2021_CH_46,18,Concrete,0.0,0.33329999999999993,-0.8029105168484137,10,3,-0.3125269842682109,1.4273572571066844,64.50093500000003,False,True,4345.677142,4343.677142,4345.677142,4349.677142,4414.178077,anterior_dorsal_mean_variable_lag4,4.3681788885961975e-09,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_51,19,Abstract,1.0,1.0,0.9812656949866586,3,1,-0.6706373311158704,0.6512534794066687,50.78490300000021,False,True,1256.00103,1254.00103,1256.00103,1260.00103,1310.785933,anterior_dorsal_mean_variable_lag4,4.4069480966744646e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_57,20,Abstract,1.0,1.0,0.9812656949866586,3,2,-1.2501139118066624,-0.5984069705038608,80.93597999999997,False,True,1311.721529,1309.721529,1311.721529,1315.721529,1396.657509,anterior_dorsal_mean_variable_lag4,1.7243851277069374e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_65,21,Abstract,1.0,1.0,0.9812656949866586,4,1,-0.1344565412126754,2.301474938515612,102.705066,False,True,1678.239277,1676.239277,1678.239277,1682.239277,1784.944343,anterior_dorsal_mean_variable_lag4,7.171724042494611e-09,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_76,22,Concrete,0.0,0.33329999999999993,-0.8029105168484137,8,2,0.3601753510213835,-1.5422365867215426,83.45961399999987,False,True,3447.874161,3445.874161,3447.874161,3451.874161,3535.333775,anterior_dorsal_mean_variable_lag4,-1.0763357754971285e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_83,23,Abstract,1.0,1.0,0.9812656949866586,5,1,1.1606719436386206,0.3913544668532575,93.03862199999958,False,True,2099.357174,2097.357174,2099.357174,2103.357174,2195.758024,anterior_dorsal_mean_variable_lag4,-7.509270213132783e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_86,24,Abstract,1.0,1.0,0.9812656949866586,3,3,-0.5048577147492145,1.3097621052999473,101.486541,False,True,1397.853313,1395.853313,1397.853313,1401.853313,1503.339854,anterior_dorsal_mean_variable_lag4,1.289233310068342e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_LC_26,25,Concrete,0.0,0.16670000000000007,-1.2487538600188395,8,3,2.264859834801295,-0.5607517593851553,157.24760800000013,False,True,3536.743587,3534.743587,3536.743587,3540.743587,3697.991195,anterior_dorsal_mean_variable_lag4,2.1705524714857493e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2022_CH_47,26,Abstract,1.0,1.0,0.9812656949866586,1,3,1.0374217805060666,0.6865312817739867,176.7309879999999,False,True,648.432349,646.432349,648.432349,652.432349,829.163337,anterior_dorsal_mean_variable_lag4,-3.6661515325614105e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2022_CH_51,27,Abstract,1.0,1.0,0.9812656949866586,1,1,0.4959657933609324,-0.9765675923399836,150.79349699999997,False,True,365.152219,363.152219,365.152219,369.152219,519.151135,anterior_dorsal_mean_variable_lag4,1.1789346549262272e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2022_CH_60,28,Abstract,1.0,1.0,0.9812656949866586,5,3,0.4425668985007616,0.5286921676923586,162.40833599999996,False,True,2329.857554,2327.857554,2329.857554,2333.857554,2496.26589,anterior_dorsal_mean_variable_lag4,-7.36640292320523e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2022_CH_71,29,Abstract,1.0,1.0,0.9812656949866586,1,2,-0.5452427221661849,0.4620415654524358,124.307413,False,True,519.651135,517.651135,519.651135,523.651135,647.932349,anterior_dorsal_mean_variable_lag4,-1.0168772300545916e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2017_CH_47,0,Concrete,0.0,0.33329999999999993,-0.8029105168484137,3,2,-0.4260686437746248,1.0979750828394783,46.429619,False,True,1295.990586,1293.990586,1295.990586,1299.990586,1345.763662,anterior_dorsal_mean_variable_lag4,-3.1672784186008753e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2017_CH_68,1,Concrete,0.0,0.16670000000000007,-1.2487538600188395,5,1,-0.9914934219713682,-1.3364726213150109,114.8661910000003,False,True,1947.892999,1945.892999,1947.892999,1951.892999,2066.073247,anterior_dorsal_mean_variable_lag4,-1.9546830120970394e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2017_CH_69,2,Concrete,0.0,0.33329999999999993,-0.8029105168484137,5,3,-0.4260686437746248,-0.7521308608059422,93.91035399999964,False,True,2102.576057,2100.576057,2102.576057,2106.576057,2200.486411,anterior_dorsal_mean_variable_lag4,-6.371393277927964e-08,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2017_CH_75,3,Concrete,0.0,0.33329999999999993,-0.8029105168484137,4,1,0.929652535764228,-1.4157789468713895,89.63437399999998,False,True,1526.077433,1524.077433,1526.077433,1530.077433,1619.013666,anterior_dorsal_mean_variable_lag4,-1.3443741458969896e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2018_CH_77,4,Concrete,0.0,0.0,-1.6948648162403883,1,1,-0.94294931884182,-1.310288679405072,57.91358100000002,False,True,259.353229,257.353229,259.353229,263.353229,321.215927,anterior_dorsal_mean_variable_lag4,3.130395254003109e-08,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2018_LC_44,5,Concrete,0.0,0.16670000000000007,-1.2487538600188395,2,1,1.389688140576973,-0.6674086028177602,81.92507499999999,False,True,682.97,680.97,682.97,686.97,768.895075,anterior_dorsal_mean_variable_lag4,-4.8455307466798515e-08,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2019_CH_56,6,Abstract,1.0,1.0,0.9812656949866586,6,1,-0.0667661106566081,0.0717737519545465,101.042007,False,True,2371.152154,2369.152154,2371.152154,2375.152154,2476.194161,anterior_dorsal_mean_variable_lag4,8.141803121183091e-08,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2019_CH_64,7,Abstract,1.0,1.0,0.9812656949866586,9,1,0.8851540163061837,1.676860146097159,97.57373300000016,False,True,3642.805865,3640.805865,3642.805865,3646.805865,3743.861973,anterior_dorsal_mean_variable_lag4,-2.863923295899769e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2019_CH_65,8,Abstract,1.0,1.0,0.9812656949866586,10,2,0.4154157465811737,-0.3021956459204002,56.66630299999997,False,True,4147.922892,4145.922892,4147.922892,4151.922892,4208.589195,anterior_dorsal_mean_variable_lag4,-5.586305854897306e-10,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_CH_56,9,Concrete,0.0,0.33329999999999993,-0.8029105168484137,5,2,-2.2518477633179645,0.7573109318980379,30.93014800000037,False,True,2066.573247,2064.573247,2066.573247,2070.573247,2101.503395,anterior_dorsal_mean_variable_lag4,1.100454742388277e-09,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_CH_59,10,Concrete,0.0,0.33329999999999993,-0.8029105168484137,3,3,-0.2041092841510671,0.5696170426960993,65.11319600000002,False,True,1346.263662,1344.263662,1346.263662,1350.263662,1415.376858,anterior_dorsal_mean_variable_lag4,1.4518201431558363e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_CH_70,11,Concrete,0.0,0.33329999999999993,-0.8029105168484137,2,2,-0.169030538835905,-1.0488884828831635,94.91064700000004,False,True,770.335078,768.335078,770.335078,774.335078,868.780842,anterior_dorsal_mean_variable_lag4,-2.522277312475641e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_CH_76,12,Abstract,1.0,1.0,0.9812656949866586,7,2,0.1255646198243954,-0.511405592177757,146.5402909999998,False,True,2882.282862,2880.282862,2882.282862,2886.282862,3032.823153,anterior_dorsal_mean_variable_lag4,-1.4891735907053232e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_CH_77,13,Abstract,1.0,1.0,0.9812656949866586,6,3,0.1561746054758361,-0.6844944649159799,93.69272,False,True,2533.726853,2531.726853,2533.726853,2537.726853,2631.419573,anterior_dorsal_mean_variable_lag4,-6.38163942457027e-08,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_CH_78,14,Concrete,0.0,0.33329999999999993,-0.8029105168484137,1,3,-2.3361669895037065,0.0020441611073083,73.785597,False,True,471.626908,469.626908,471.626908,475.626908,549.412505,anterior_dorsal_mean_variable_lag4,-2.4930025132391366e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_CH_82,15,Concrete,0.0,0.16670000000000007,-1.2487538600188395,4,3,0.8398158527831238,0.4360691378486896,61.71488799999997,False,True,1703.306075,1701.306075,1703.306075,1707.306075,1769.020963,anterior_dorsal_mean_variable_lag4,-3.1473983892928566e-08,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_CH_84,16,Concrete,0.0,0.33329999999999993,-0.8029105168484137,4,2,-0.5863181049301306,-1.2526273197494673,79.6178789999999,False,True,1619.513666,1617.513666,1619.513666,1623.513666,1702.806075,anterior_dorsal_mean_variable_lag4,-7.854639638707969e-08,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2020_LC_31,17,Abstract,1.0,1.0,0.9812656949866586,8,1,1.2969024283525536,0.491072224108366,99.4104540000003,False,True,3221.367833,3219.367833,3221.367833,3225.367833,3324.778287,anterior_dorsal_mean_variable_lag4,-1.6243318241267907e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2021_CH_46,18,Concrete,0.0,0.33329999999999993,-0.8029105168484137,2,3,-0.3125269842682109,1.4273572571066844,104.38167,False,True,869.280842,867.280842,869.280842,873.280842,977.662512,anterior_dorsal_mean_variable_lag4,-2.7211867860461805e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2021_CH_51,19,Abstract,1.0,1.0,0.9812656949866586,9,3,-0.6706373311158704,0.6512534794066687,76.06075400000009,False,True,3829.108376,3827.108376,3829.108376,3833.108376,3909.16913,anterior_dorsal_mean_variable_lag4,-4.990124317977358e-09,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2021_CH_57,20,Abstract,1.0,1.0,0.9812656949866586,7,1,-1.2501139118066624,-0.5984069705038608,82.38033700000005,False,True,2795.732738,2793.732738,2795.732738,2799.732738,2881.782862,anterior_dorsal_mean_variable_lag4,-1.1468978970218111e-08,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2021_CH_65,21,Abstract,1.0,1.0,0.9812656949866586,6,2,-0.1344565412126754,2.301474938515612,52.90142999999989,False,True,2477.050044,2475.050044,2477.050044,2481.050044,2533.226853,anterior_dorsal_mean_variable_lag4,1.5207176190471427e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2021_CH_76,22,Concrete,0.0,0.33329999999999993,-0.8029105168484137,1,2,0.3601753510213835,-1.5422365867215426,145.25802699999997,False,True,321.715927,319.715927,321.715927,325.715927,470.973954,anterior_dorsal_mean_variable_lag4,-1.7858400710597545e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2021_CH_83,23,Abstract,1.0,1.0,0.9812656949866586,10,3,1.1606719436386206,0.3913544668532575,123.66854299999976,False,True,4209.350319,4207.350319,4209.350319,4213.350319,4337.018862,anterior_dorsal_mean_variable_lag4,-6.995378235668756e-09,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2021_CH_86,24,Abstract,1.0,1.0,0.9812656949866586,7,3,-0.5048577147492145,1.3097621052999473,93.16674299999976,False,True,3033.925412,3031.925412,3033.925412,3037.925412,3131.092155,anterior_dorsal_mean_variable_lag4,-4.354012748655055e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2021_LC_26,25,Concrete,0.0,0.16670000000000007,-1.2487538600188395,3,1,2.264859834801295,-0.5607517593851553,187.3817570000001,False,True,1103.796347,1101.796347,1103.796347,1107.796347,1295.178104,anterior_dorsal_mean_variable_lag4,-1.374485177618726e-07,anterior_dorsal,Anterior Dorsal
